Sentence #	Word	Pos	Tag
Sentence 1	fahl	NC	O
Sentence 1	Compartir	NC	O
Sentence 1	Anterior	NP	O
Sentence 1	Siguiente	VLfin	O
Sentence 1	Comentarios	NC	O
Sentence 1	de	PREP	O
Sentence 1	Facebook	NP	S-ORG
Sentence 1	Redacción	NP	O
Sentence 1	24	CARD	B-TIM
Sentence 1	horas	NC	E-TIM
Sentence 1	ÚLTIMAS	NC	O
Sentence 1	NOTICIAS	ADJ	O
Sentence 1	Jul	NC	B-DAT
Sentence 1	13	CARD	E-DAT
Sentence 1	8:20	CARD	B-TIM
Sentence 1	PM	COLON	E-TIM
Sentence 1	Jul	CODE	B-DAT
Sentence 1	13	NP	E-DAT
Sentence 1	8:01	NP	B-TIM
Sentence 1	PM	CARD	E-TIM
Sentence 1	Jul	CARD	B-DAT
Sentence 1	13	COLON	E-DAT
Sentence 1	8:00	CODE	B-TIM
Sentence 1	PM	NP	E-TIM
Sentence 1	Jul	NP	B-DAT
Sentence 1	13	CARD	E-DAT
Sentence 1	7:55	CARD	B-TIM
Sentence 1	PM	COLON	E-TIM
Sentence 1	Jul	CODE	B-DAT
Sentence 1	13	NP	E-DAT
Sentence 1	7:40	NP	B-TIM
Sentence 1	PM	CARD	E-TIM
Sentence 1	Jul	CARD	B-DAT
Sentence 1	13	COLON	E-DAT
Sentence 1	7:20	CODE	B-TIM
Sentence 1	PM	NP	E-TIM
Sentence 1	Jul	NP	B-DAT
Sentence 1	13	CARD	E-DAT
Sentence 1	7:20	CARD	B-TIM
Sentence 1	PM	COLON	E-TIM
Sentence 1	Jul	CODE	B-DAT
Sentence 1	13	NP	E-DAT
Sentence 1	7:00	NP	B-TIM
Sentence 1	PM	CARD	E-TIM
Sentence 1	Platicas	CARD	O
Sentence 1	de	COLON	O
Sentence 1	Café	CODE	O
Sentence 1	Jul	NP	B-DAT
Sentence 1	11	NP	E-DAT
Sentence 1	,	CARD	O
Sentence 1	2018	CARD	S-DAT
Sentence 1	TODOS	COLON	O
Sentence 1	LOS	CODE	O
Sentence 1	DERECHOS	NP	O
Sentence 1	RESERVADOS	NP	O
Sentence 1	24	CARD	B-ORG
Sentence 1	HORAS	CARD	E-ORG
Sentence 1	MÉXICO	COLON	S-GPE
Sentence 1	2018	CARD	S-DAT
Sentence 1	Brought	NC	O
Sentence 1	to	ADJ	O
Sentence 1	you	PREP	O
Sentence 1	by	NC	O

Sentence 2	Three	PE	O
Sentence 2	weeks	NC	O
Sentence 2	since	ADJ	O
Sentence 2	the	PE	O
Sentence 2	Singapore	NP	O
Sentence 2	Summit	NP	O
Sentence 2	,	CM	O
Sentence 2	my	NC	O
Sentence 2	team	ADJ	O
Sentence 2	has	VHfin	O
Sentence 2	worked	NC	O
Sentence 2	tirelessly	VLfin	O
Sentence 2	to	PE	O
Sentence 2	keep	NC	O
Sentence 2	the	PE	O
Sentence 2	conversation	PE	O
Sentence 2	moving	NC	O
Sentence 2	forward	PE	O
Sentence 2	.	FS	O

Sentence 3	Por	PREP	O
Sentence 3	ello	PPX	O
Sentence 3	tendrá	VLfin	O
Sentence 3	que	CQUE	O
Sentence 3	negociar	VLinf	O
Sentence 3	temas	NC	O
Sentence 3	torales	ADJ	O
Sentence 3	para	PREP	O
Sentence 3	la	ART	O
Sentence 3	implementación	NC	O
Sentence 3	de	PREP	O
Sentence 3	las	ART	O
Sentence 3	políticas	NC	O
Sentence 3	públicas	ADJ	O
Sentence 3	estatales	ADJ	O
Sentence 3	,	CM	O
Sentence 3	tales	QU	O
Sentence 3	como	CSUBX	O
Sentence 3	el	ART	O
Sentence 3	presupuesto	VLadj	O
Sentence 3	,	CM	O
Sentence 3	obra	NC	O
Sentence 3	pública	ADJ	O
Sentence 3	,	CM	O
Sentence 3	servicios	NC	O
Sentence 3	,	CM	O
Sentence 3	atención	NC	O
Sentence 3	a	PREP	O
Sentence 3	la	ART	O
Sentence 3	ciudadanía	NC	O
Sentence 3	y	CC	O
Sentence 3	demás	NC	O
Sentence 3	que	CQUE	O
Sentence 3	tienen	VLfin	O
Sentence 3	un	ART	O
Sentence 3	impacto	NC	O
Sentence 3	directo	ADJ	O
Sentence 3	en	PREP	O
Sentence 3	la	ART	O
Sentence 3	población	NC	O
Sentence 3	y	CC	O
Sentence 3	que	CQUE	O
Sentence 3	desde	PREP	O
Sentence 3	luego	ADV	O
Sentence 3	dejarán	VLfin	O
Sentence 3	de	PREP	O
Sentence 3	ser	VSinf	O
Sentence 3	un	ART	O
Sentence 3	escaparate	NC	O
Sentence 3	para	PREP	O
Sentence 3	ella	PPX	O
Sentence 3	.	FS	O

Sentence 4	Cabada	NP	S-PER
Sentence 4	puso	VLfin	O
Sentence 4	en	PREP	O
Sentence 4	énfasis	NC	O
Sentence 4	en	PREP	O
Sentence 4	los	ART	O
Sentence 4	logros	NC	O
Sentence 4	de	PREP	O
Sentence 4	la	ART	O
Sentence 4	Secretaría	NP	B-ORG
Sentence 4	de	PREP	I-ORG
Sentence 4	Seguridad	NC	I-ORG
Sentence 4	Pública	NP	E-ORG
Sentence 4	,	CM	O
Sentence 4	habló	VLfin	O
Sentence 4	de	PREP	O
Sentence 4	los	ART	O
Sentence 4	avances	NC	O
Sentence 4	de	PREP	O
Sentence 4	la	ART	O
Sentence 4	infraestructura	NC	O
Sentence 4	del	PDEL	O
Sentence 4	corredor	NC	O
Sentence 4	seguro	ADJ	O
Sentence 4	para	PREP	O
Sentence 4	las	ART	O
Sentence 4	mujeres	NC	O
Sentence 4	y	CC	O
Sentence 4	en	PREP	O
Sentence 4	las	ART	O
Sentence 4	denuncias	NC	O
Sentence 4	penales	NC	O
Sentence 4	que	CQUE	O
Sentence 4	pesan	VLfin	O
Sentence 4	en	PREP	O
Sentence 4	su	PPO	O
Sentence 4	contra	PREP	O
Sentence 4	de	PREP	O
Sentence 4	las	ART	O
Sentence 4	que	CQUE	O
Sentence 4	aseguró	VLfin	O
Sentence 4	que	CQUE	O
Sentence 4	buscan	VLfin	O
Sentence 4	el	ART	O
Sentence 4	“	NC	O
Sentence 4	golpeteo	VLfin	O
Sentence 4	”	NC	O
Sentence 4	político	ADJ	O
Sentence 4	.	FS	O

Sentence 5	De	PREP	O
Sentence 5	acuerdo	NC	O
Sentence 5	con	PREP	O
Sentence 5	algunos	QU	O
Sentence 5	expertos	NC	O
Sentence 5	consultados	VLadj	O
Sentence 5	por	PREP	O
Sentence 5	Norte	NC	O
Sentence 5	,	CM	O
Sentence 5	se	SE	O
Sentence 5	está	VLfin	O
Sentence 5	preparando	VLger	O
Sentence 5	el	ART	O
Sentence 5	camino	NC	O
Sentence 5	para	CSUBI	O
Sentence 5	impugnar	VLinf	O
Sentence 5	la	ART	O
Sentence 5	elección	NC	O
Sentence 5	.	FS	O

Sentence 6	México	NP	S-GPE
Sentence 6	va	VLfin	O
Sentence 6	a	PREP	O
Sentence 6	encontrar	VLinf	O
Sentence 6	bases	NC	O
Sentence 6	de	PREP	O
Sentence 6	entendimiento	NC	O
Sentence 6	para	PREP	O
Sentence 6	una	ART	O
Sentence 6	mejor	ADJ	O
Sentence 6	relación	NC	O
Sentence 6	con	PREP	O
Sentence 6	Estados	NC	B-GPE
Sentence 6	Unidos	NP	E-GPE
Sentence 6	.	FS	O

Sentence 7	Así	VLfin	O
Sentence 7	como	CSUBX	O
Sentence 7	Guerrero	NP	S-GPE
Sentence 7	y	CC	O
Sentence 7	Michoacán	NP	S-GPE
Sentence 7	.	FS	O

Sentence 8	Por	PREP	O
Sentence 8	:	COLON	O
Sentence 8	El	ART	B-ORG
Sentence 8	Debate	NC	E-ORG
Sentence 8	13	CODE	B-DAT
Sentence 8	de	PREP	I-DAT
Sentence 8	Julio	NP	I-DAT
Sentence 8	2018	CARD	E-DAT
Sentence 8	07:27	CARD	B-TIM
Sentence 8	hs	COLON	E-TIM
Sentence 8	Liberan	CARD	O
Sentence 8	a	NC	O
Sentence 8	alcalde	VLfin	B-TIT
Sentence 8	electo	PREP	I-TIT
Sentence 8	de	NC	I-TIT
Sentence 8	Ciudad	ADJ	I-TIT
Sentence 8	Mier	PREP	E-TIT
Sentence 8	,	NC	O
Sentence 8	Roberto	NP	B-PER
Sentence 8	González	CM	E-PER
Sentence 8	México	NP	S-GPE
Sentence 8	,	NP	O
Sentence 8	13	NP	B-DAT
Sentence 8	jul	CM	E-DAT
Sentence 8	(	CARD	O
Sentence 8	EFE	NC	S-ORG
Sentence 8	)	LP	O
Sentence 8	.	NC	O

Sentence 9	(	LP	O
Sentence 9	Foto	NC	O
Sentence 9	:	COLON	O
Sentence 9	Cuartoscuro	NP	S-ORG
Sentence 9	Victoria	NP	B-PER
Sentence 9	Valtierra	NP	E-PER
Sentence 9	)	RP	O
Sentence 9	.	FS	O

Sentence 10	Respecto	NC	O
Sentence 10	al	PAL	O
Sentence 10	Acceso	NC	O
Sentence 10	a	PREP	O
Sentence 10	la	ART	O
Sentence 10	Alimentación	NP	O
Sentence 10	,	CM	O
Sentence 10	se	SE	O
Sentence 10	superó	VLfin	O
Sentence 10	la	ART	O
Sentence 10	meta	NC	O
Sentence 10	de	PREP	O
Sentence 10	beneficiarios	NC	O
Sentence 10	con	PREP	O
Sentence 10	el	ART	O
Sentence 10	apoyo	NC	O
Sentence 10	de	PREP	O
Sentence 10	alimentación	NC	O
Sentence 10	con	PREP	O
Sentence 10	un	ART	O
Sentence 10	total	ADJ	O
Sentence 10	de	PREP	O
Sentence 10	16	CARD	O
Sentence 10	mil	CARD	O
Sentence 10	532	CARD	O
Sentence 10	personas	NC	O
Sentence 10	,	CM	O
Sentence 10	meta	NC	O
Sentence 10	mayor	ADJ	O
Sentence 10	a	PREP	O
Sentence 10	la	ART	O
Sentence 10	establecida	VLadj	O
Sentence 10	en	PREP	O
Sentence 10	el	ART	O
Sentence 10	presente	ADJ	O
Sentence 10	año	NC	O
Sentence 10	.	FS	O

Sentence 11	Resaltó	VLfin	O
Sentence 11	que	CQUE	O
Sentence 11	a	PREP	O
Sentence 11	los	ART	O
Sentence 11	perredistas	NC	O
Sentence 11	les	PPC	O
Sentence 11	faltó	VLfin	O
Sentence 11	mucha	ADJ	O
Sentence 11	humildad	NC	O
Sentence 11	para	CSUBI	O
Sentence 11	asumir	VLinf	O
Sentence 11	su	PPO	O
Sentence 11	realidad	NC	O
Sentence 11	,	CM	O
Sentence 11	sobre	PREP	O
Sentence 11	todo	QU	O
Sentence 11	a	PREP	O
Sentence 11	quienes	REL	O
Sentence 11	no	NEG	O
Sentence 11	les	PPC	O
Sentence 11	favoreció	VLfin	O
Sentence 11	alguna	QU	O
Sentence 11	candidatura	NC	O
Sentence 11	,	CM	O
Sentence 11	por	PREP	O
Sentence 11	ello	PPX	O
Sentence 11	se	SE	O
Sentence 11	fueron	VSfin	O
Sentence 11	,	CM	O
Sentence 11	unos	ART	O
Sentence 11	abiertamente	ADV	O
Sentence 11	a	PREP	O
Sentence 11	hacer	VLinf	O
Sentence 11	contracampaña	VLfin	O
Sentence 11	contra	PREP	O
Sentence 11	el	ART	O
Sentence 11	PRD	NC	S-PEX
Sentence 11	y	CC	O
Sentence 11	otros	QU	O
Sentence 11	,	CM	O
Sentence 11	más	NC	O
Sentence 11	cobardes	ADJ	O
Sentence 11	,	CM	O
Sentence 11	hacían	VLfin	O
Sentence 11	campaña	ADJ	O
Sentence 11	por	PREP	O
Sentence 11	otro	QU	O
Sentence 11	partido	NC	O
Sentence 11	y	CC	O
Sentence 11	asistían	VLfin	O
Sentence 11	a	PREP	O
Sentence 11	mítines	NC	O
Sentence 11	del	PDEL	O
Sentence 11	sol	NC	B-PEX
Sentence 11	azteca	ADJ	E-PEX
Sentence 11	.	FS	O

Sentence 12	¡Vivos	NC	O
Sentence 12	se	SE	O
Sentence 12	los	PPC	O
Sentence 12	llevaron	VLfin	O
Sentence 12	,	CM	O
Sentence 12	v	CARD	O
Sentence 12	ivos	NC	O
Sentence 12	los	PPC	O
Sentence 12	queremos	VLfin	O
Sentence 12	!	FS	O

Sentence 13	Todos	QU	O
Sentence 13	los	ART	O
Sentence 13	derechos	NC	O
Sentence 13	reservados	VLadj	O
Sentence 13	.	FS	O

Sentence 14	Coincidimos	VLfin	O
Sentence 14	en	PREP	O
Sentence 14	continuar	VLinf	O
Sentence 14	el	ART	O
Sentence 14	trabajo	NC	O
Sentence 14	,	CM	O
Sentence 14	colaboración	NC	O
Sentence 14	y	CC	O
Sentence 14	coordinación	NC	O
Sentence 14	bilateral	ADJ	O
