Sentence #	Word	Pos	Tag
Sentence: 1	miércoles	NC	B-DAT
Sentence: 1	11	CARD	I-DAT
Sentence: 1	de	PREP	I-DAT
Sentence: 1	julio	NC	I-DAT
Sentence: 1	de	PREP	I-DAT
Sentence: 1	2018	CARD	E-DAT
Sentence: 1	Al	PAL	B-PER
Sentence: 1	Mijis	NP	E-PER
Sentence: 1	lo	PPC	O
Sentence: 1	picaron	VLfin	O
Sentence: 1	y	CC	O
Sentence: 1	a	PREP	O
Sentence: 1	su	PPO	O
Sentence: 1	hijo	NC	O
Sentence: 1	lo	PPC	O
Sentence: 1	balearon	VLfin	O
Sentence: 1	,	CM	O
Sentence: 1	así	VLfin	O
Sentence: 1	tocó	NC	O
Sentence: 1	fondo	NC	O
Sentence: 1	el	ART	O
Sentence: 1	nuevo	ADJ	O
Sentence: 1	político	NC	O
Sentence: 1	arropado	VLadj	O
Sentence: 1	por	PREP	O
Sentence: 1	AMLO	NC	S-PER
Sentence: 1	Al	CSUBI	O
Sentence: 1	ver	VLinf	O
Sentence: 1	su	PPO	O
Sentence: 1	triunfo	NC	O
Sentence: 1	en	PREP	O
Sentence: 1	las	ART	O
Sentence: 1	elecciones	NC	B-EVT
Sentence: 1	del	PDEL	I-EVT
Sentence: 1	1	CARD	I-EVT
Sentence: 1	de	PREP	I-EVT
Sentence: 1	julio	NC	E-EVT
Sentence: 1	,	CM	O
Sentence: 1	sus	PPO	O
Sentence: 1	adversarios	NC	O
Sentence: 1	arremetieron	VLfin	O
Sentence: 1	con	PREP	O
Sentence: 1	todo	QU	O
Sentence: 1	contra	PREP	O
Sentence: 1	Pedro	NP	B-PER
Sentence: 1	César	VLinf	I-PER
Sentence: 1	Carrizales	NC	E-PER
Sentence: 1	Foto	ADJ	O
Sentence: 1	:	COLON	O
Sentence: 1	Rolando	NP	B-PER
Sentence: 1	Dimas	NC	E-PER
Sentence: 1	EFE	NC	S-ORG
Sentence: 1	Un	ART	O
Sentence: 1	ave	NC	O
Sentence: 1	fénix	NC	O
Sentence: 1	tatuada	VLadj	O
Sentence: 1	en	PREP	O
Sentence: 1	el	ART	O
Sentence: 1	pecho	NC	O
Sentence: 1	da	VLfin	O
Sentence: 1	cuenta	NC	O
Sentence: 1	de	PREP	O
Sentence: 1	la	ART	O
Sentence: 1	agitada	VLadj	O
Sentence: 1	y	CC	O
Sentence: 1	peligrosa	ADJ	O
Sentence: 1	vida	NC	O
Sentence: 1	de	PREP	O
Sentence: 1	Pedro	NP	B-PER
Sentence: 1	César	VLinf	I-PER
Sentence: 1	Carrizales	NC	I-PER
Sentence: 1	Becerra	NP	E-PER
Sentence: 1	,	CM	O
Sentence: 1	a	PREP	O
Sentence: 1	quien	REL	O
Sentence: 1	apodan	VLfin	O
Sentence: 1	El	ART	B-PER
Sentence: 1	Mijis	NP	E-PER
Sentence: 1	,	CM	O
Sentence: 1	un	ART	O
Sentence: 1	chavo	NC	O
Sentence: 1	banda	NC	O
Sentence: 1	(	LP	O
Sentence: 1	pandillero	ADJ	O
Sentence: 1	)	RP	O
Sentence: 1	en	PREP	O
Sentence: 1	su	PPO	O
